,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,exponential_starvation_penalty,exponential_congestion_penalty,starvation_severity_max,congestion_severity_max,unmet_starvation_deficit,starvation_variance,imbalance_hotspot_distance,starvation_count,congestion_count,hotspot_imbalance_mass,projected_starvation_risk,projected_congestion_risk
rebalancing_imbalance,1.0,0.9292765021200999,0.8402330674679322,0.9040126908467402,0.8193545335357499,0.4234902123003166,0.3477466127859036,0.9439783302898569,0.7886547791064629,0.0016456162644638416,0.7601320356833594,0.6791617760703943,-0.6190025591733648,0.2652887756562276,0.41628172949829645
squared_starvation_penalty,0.9292765021200999,1.0,0.7628594858126245,0.9943032892950603,0.740010305247873,0.49813167278323667,0.2609700478220866,0.9228349937995782,0.9263893500438611,0.02325879005246872,0.886493362275005,0.5984298775855437,-0.6510615708265592,0.3150457166983984,0.4212746824887464
squared_congestion_penalty,0.8402330674679322,0.7628594858126245,1.0,0.7539979533787521,0.9924234278739842,0.3609313803360974,0.4408452873460977,0.7644548146032328,0.7084335046813427,-0.031411732692926936,0.6715549366210682,0.8594782427752781,-0.6789176860580067,0.17903894573272042,0.3388722556487066
exponential_starvation_penalty,0.9040126908467402,0.9943032892950603,0.7539979533787521,1.0,0.7311761573303981,0.5225068803706492,0.2519605850496052,0.9014456104550607,0.9509860569409739,0.027707033897133877,0.9212484808143397,0.5892890381283915,-0.6409881327506398,0.3311505021605647,0.40775060108445693
exponential_congestion_penalty,0.8193545335357499,0.740010305247873,0.9924234278739842,0.7311761573303981,1.0,0.3365671685111345,0.4614991817393157,0.7391320394941578,0.6819187305460486,-0.03465790581676557,0.6497906103769122,0.9048595209190993,-0.6265331169346964,0.14953908534624966,0.3665534395350749
starvation_severity_max,0.4234902123003166,0.49813167278323667,0.3609313803360974,0.5225068803706492,0.3365671685111345,1.0,0.2972430702921155,0.4374589131355147,0.5467826016717766,0.06383639761529025,0.52427335045822,0.25009084653771485,-0.4222194565542008,0.15035483022614848,0.11304560850817104
congestion_severity_max,0.3477466127859036,0.2609700478220866,0.4408452873460977,0.2519605850496052,0.4614991817393157,0.2972430702921155,1.0,0.293202097361049,0.2332263817442739,-0.02477731980606594,0.20650048410991503,0.4705417449048115,-0.2482657062173618,0.007867307766722587,0.19185385553012657
unmet_starvation_deficit,0.9439783302898569,0.9228349937995782,0.7644548146032328,0.9014456104550607,0.7391320394941578,0.4374589131355147,0.293202097361049,1.0,0.7906094350300514,0.033571543596680214,0.7615504664999156,0.5982835078388982,-0.6299980194198158,0.3527240291174363,0.46286244566781
starvation_variance,0.7886547791064629,0.9263893500438611,0.7084335046813427,0.9509860569409739,0.6819187305460486,0.5467826016717766,0.2332263817442739,0.7906094350300514,1.0,0.03529045803189512,0.9333472054000441,0.5324150150973406,-0.612478885881831,0.3718077146159777,0.3134958375794833
imbalance_hotspot_distance,0.0016456162644638416,0.02325879005246872,-0.031411732692926936,0.027707033897133877,-0.03465790581676557,0.06383639761529025,-0.02477731980606594,0.033571543596680214,0.03529045803189512,1.0,0.03384030855227498,-0.04553434799709832,-0.006356397008325343,-0.02470631723834406,-0.01580390798243264
starvation_count,0.7601320356833594,0.886493362275005,0.6715549366210682,0.9212484808143397,0.6497906103769122,0.52427335045822,0.20650048410991503,0.7615504664999156,0.9333472054000441,0.03384030855227498,1.0,0.5197937434581055,-0.5496563545729996,0.3829934377126483,0.32474554935000083
congestion_count,0.6791617760703943,0.5984298775855437,0.8594782427752781,0.5892890381283915,0.9048595209190993,0.25009084653771485,0.4705417449048115,0.5982835078388982,0.5324150150973406,-0.04553434799709832,0.5197937434581055,1.0,-0.4117900205186268,0.10263503498018034,0.41754444313621053
hotspot_imbalance_mass,-0.6190025591733648,-0.6510615708265592,-0.6789176860580067,-0.6409881327506398,-0.6265331169346964,-0.4222194565542008,-0.2482657062173618,-0.6299980194198158,-0.612478885881831,-0.006356397008325343,-0.5496563545729996,-0.4117900205186268,1.0,-0.16489558280028577,-0.13914968799083366
projected_starvation_risk,0.2652887756562276,0.3150457166983984,0.17903894573272042,0.3311505021605647,0.14953908534624966,0.15035483022614848,0.007867307766722587,0.3527240291174363,0.3718077146159777,-0.02470631723834406,0.3829934377126483,0.10263503498018034,-0.16489558280028577,1.0,0.4541321177425199
projected_congestion_risk,0.41628172949829645,0.4212746824887464,0.3388722556487066,0.40775060108445693,0.3665534395350749,0.11304560850817104,0.19185385553012657,0.46286244566781,0.3134958375794833,-0.01580390798243264,0.32474554935000083,0.41754444313621053,-0.13914968799083366,0.4541321177425199,1.0
