seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_exponential_starvation_penalty,phi_exponential_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_time_remaining_fraction,phi_functional_bikes_time_penalty,phi_reachable_imbalance_fraction,phi_recoverable_imbalance_fraction,phi_imbalance_hotspot_distance,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
51,7,6,12,D0,True,17,3,20,3,0,0,0,3,3,"['B422', 'B581', 'B668', 'B376', 'B31', 'B305']",7.5,S66,1.4,17,0,17,0.0,,-0.762623,-10.217243,-10.979866,True,True,5,S65,True,2,0.3758,load_queue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,6,36,S66,False,20,0,20,20,0,0,0,0,0,"['B439', 'B460', 'B315', 'B723', 'B592', 'B48', 'B388', 'B403', 'B310', 'B406', 'B763', 'B258', 'B697', 'B270', 'B119', 'B218', 'B389', 'B422', 'B581', 'B668']",13.0,S37,3.07,0,0,0,0.0,,-0.615416,-10.135881,-10.751298,False,False,18,S65,True,12,1.2766,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,6,52,S37,False,0,0,0,0,20,0,0,0,0,"['B543', 'B30', 'B555', 'B433', 'B148', 'B649', 'B287', 'B364', 'B182', 'B98', 'B341', 'B621', 'B274', 'B507', 'B505', 'B576', 'B180', 'B669', 'B660', 'B704']",13.0,S41,3.7,20,0,20,0.0,,-0.414933,-10.053315,-10.468248,False,False,12,S41,False,6,0.906,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,7,9,S41,False,20,0,20,15,0,0,0,0,0,"['B543', 'B30', 'B555', 'B433', 'B148', 'B649', 'B287', 'B364', 'B182', 'B98', 'B341', 'B621', 'B274', 'B507', 'B505']",10.5,S38,3.56,5,0,5,0.0,,-0.28968,-10.16395,-10.45363,False,False,18,S27,True,13,1.659,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,7,23,S38,False,5,0,5,0,15,0,0,0,0,"['B53', 'B674', 'B108', 'B511', 'B18', 'B468', 'B100', 'B140', 'B402', 'B707', 'B750', 'B197', 'B106', 'B542', 'B384']",10.5,S27,5.35,20,0,20,0.0,,-0.189618,-9.602972,-9.79259,False,False,12,S65,True,6,0.9575,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,7,39,S27,False,20,0,20,19,0,0,0,0,0,"['B576', 'B180', 'B669', 'B660', 'B704', 'B53', 'B674', 'B108', 'B511', 'B18', 'B468', 'B100', 'B140', 'B402', 'B707', 'B750', 'B197', 'B106', 'B542']",12.5,S63,4.87,1,0,1,0.0,,-0.22503,-9.744133,-9.969163,True,False,30,S26,True,7,2.7005,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,7,56,S63,False,1,0,1,0,13,0,0,0,0,"['B32', 'B533', 'B490', 'B757', 'B209', 'B563', 'B722', 'B738', 'B1', 'B22', 'B62', 'B648', 'B139']",9.5,S26,7.98,14,0,14,0.0,,-0.218992,-9.518073,-9.737065,False,False,18,S59,True,15,1.9724,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,8,14,S26,False,14,0,14,13,0,0,0,0,0,"['B384', 'B32', 'B533', 'B490', 'B757', 'B209', 'B563', 'B722', 'B738', 'B1', 'B22', 'B62', 'B648']",9.5,S59,8.38,1,0,1,0.0,,-0.219053,-9.490584,-9.709637,False,False,18,S11,True,6,1.5801,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,8,32,S59,False,1,0,1,0,19,1,0,0,0,"['B619', 'B324', 'B281', 'B585', 'B656', 'B534', 'B38', 'B522', 'B556', 'B215', 'B47', 'B747', 'B495', 'B356', 'B664', 'B758', 'B584', 'B135', 'B641']",15.5,S50,8.72,20,0,20,0.0,,-0.247438,-9.238196,-9.485635,True,True,24,S48,True,18,2.2644,pickup+onsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,8,56,S50,False,20,0,20,19,0,0,0,0,0,"['B139', 'B619', 'B324', 'B281', 'B585', 'B656', 'B534', 'B38', 'B522', 'B556', 'B215', 'B47', 'B747', 'B495', 'B356', 'B664', 'B758', 'B584', 'B135']",12.5,S11,3.14,1,0,1,0.0,,-0.235915,-9.304073,-9.539987,False,False,18,S11,False,6,2.204,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
