seed,exp_name,alpha,duration_hours,total_runtime_s,service_level,avg_bike_km_driven,starvations,congestions,total_trips,bike_departures,bike_arrivals,total_depot_deliveries,total_depot_visits,total_fixed_on_site,total_picked_up_to_depot,total_depot_fixes,total_bikes_redistributed_from_depot,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,broken_bikes_end_onsite,broken_bikes_end_depot,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot,policy,experiment,experiment_label,label,source
42,Imbalance_severity_squared_temporal,0.0,504,40620,0.9094,398.1095,3922,1525,60092,56170,56171,152,41,178,152,152,143,6217,6363,0.025,0.0329,0.9421,0.0521,0.1302,0.8177,40,100,200,216,178,143,VFA,Imbalance_severity_squared_temporal,Imbalance severity squared temporal,VFA: Imbalance severity squared temporal,run_logs/VFA_only_results/vfa_Imbalance_severity_squared_temporal_TD_W34_old_D504h_V1/results.csv
43,Imbalance_severity_squared_temporal,0.0,504,40620,0.92,396.0447,3550,1258,60072,56522,56523,135,42,179,135,135,134,6308,6450,0.0235,0.047,0.9295,0.0679,0.0966,0.8355,52,74,214,181,179,134,VFA,Imbalance_severity_squared_temporal,Imbalance severity squared temporal,VFA: Imbalance severity squared temporal,run_logs/VFA_only_results/vfa_Imbalance_severity_squared_temporal_TD_W34_old_D504h_V1/results.csv
44,Imbalance_severity_squared_temporal,0.0,504,40620,0.9101,397.1056,3819,1570,59914,56095,56097,164,41,180,164,164,164,6198,6362,0.0172,0.0385,0.9443,0.0432,0.1374,0.8194,33,105,202,237,180,164,VFA,Imbalance_severity_squared_temporal,Imbalance severity squared temporal,VFA: Imbalance severity squared temporal,run_logs/VFA_only_results/vfa_Imbalance_severity_squared_temporal_TD_W34_old_D504h_V1/results.csv
45,Imbalance_severity_squared_temporal,0.0,504,40620,0.9157,395.1265,3497,1519,59498,56001,56003,175,44,189,175,175,163,6106,6275,0.0303,0.0421,0.9276,0.0638,0.1107,0.8255,49,85,215,219,189,163,VFA,Imbalance_severity_squared_temporal,Imbalance severity squared temporal,VFA: Imbalance severity squared temporal,run_logs/VFA_only_results/vfa_Imbalance_severity_squared_temporal_TD_W34_old_D504h_V1/results.csv
46,Imbalance_severity_squared_temporal,0.0,504,40620,0.9199,395.4785,3608,1130,59172,55564,55561,149,43,177,147,149,141,6096,6243,0.0185,0.0278,0.9536,0.0469,0.1004,0.8527,36,77,199,197,177,141,VFA,Imbalance_severity_squared_temporal,Imbalance severity squared temporal,VFA: Imbalance severity squared temporal,run_logs/VFA_only_results/vfa_Imbalance_severity_squared_temporal_TD_W34_old_D504h_V1/results.csv
47,Imbalance_severity_squared_temporal,0.0,504,40620,0.9234,396.7738,3240,1310,59398,56158,56160,141,42,183,141,141,153,6265,6418,0.0105,0.0553,0.9342,0.0573,0.1146,0.8281,44,88,221,196,183,153,VFA,Imbalance_severity_squared_temporal,Imbalance severity squared temporal,VFA: Imbalance severity squared temporal,run_logs/VFA_only_results/vfa_Imbalance_severity_squared_temporal_TD_W34_old_D504h_V1/results.csv
48,Imbalance_severity_squared_temporal,0.0,504,40620,0.9149,395.9402,3683,1396,59704,56021,56025,149,42,182,149,149,153,6340,6501,0.0119,0.045,0.943,0.0668,0.114,0.8191,51,87,225,198,182,153,VFA,Imbalance_severity_squared_temporal,Imbalance severity squared temporal,VFA: Imbalance severity squared temporal,run_logs/VFA_only_results/vfa_Imbalance_severity_squared_temporal_TD_W34_old_D504h_V1/results.csv
49,Imbalance_severity_squared_temporal,0.0,504,40620,0.9224,395.5596,3381,1207,59148,55767,55765,146,40,199,146,146,151,6328,6478,0.013,0.0417,0.9452,0.0456,0.1069,0.8475,35,82,224,202,199,151,VFA,Imbalance_severity_squared_temporal,Imbalance severity squared temporal,VFA: Imbalance severity squared temporal,run_logs/VFA_only_results/vfa_Imbalance_severity_squared_temporal_TD_W34_old_D504h_V1/results.csv
50,Imbalance_severity_squared_temporal,0.0,504,40620,0.9209,395.1271,3622,1075,59412,55790,55783,171,42,209,171,171,170,6165,6333,0.0225,0.0436,0.9339,0.0366,0.1333,0.8301,28,102,222,231,209,170,VFA,Imbalance_severity_squared_temporal,Imbalance severity squared temporal,VFA: Imbalance severity squared temporal,run_logs/VFA_only_results/vfa_Imbalance_severity_squared_temporal_TD_W34_old_D504h_V1/results.csv
51,Imbalance_severity_squared_temporal,0.0,504,40620,0.9256,396.8536,3469,963,59574,56105,56104,155,40,181,152,155,139,6348,6495,0.0224,0.0342,0.9434,0.0508,0.1341,0.8151,39,103,207,222,181,139,VFA,Imbalance_severity_squared_temporal,Imbalance severity squared temporal,VFA: Imbalance severity squared temporal,run_logs/VFA_only_results/vfa_Imbalance_severity_squared_temporal_TD_W34_old_D504h_V1/results.csv
