episode,service_level,bias,squared_starvation_penalty,squared_congestion_penalty,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9213509525087201,-2.5418870198503254,-0.009373731127353001,-0.0033074213186840167,0.01,0.01,0.0,0.97,100,17,1,18
1,0.9196504653222168,-2.5839858427577225,-0.019079229653865822,-0.006525495706386688,0.009708,0.01,0.0,0.97,100,15,1,16
2,0.9193383498969314,-2.6247975662997125,-0.028196823121943018,-0.010104322248862097,0.009432,0.01,0.0,0.97,100,15,1,16
3,0.9246773680598563,-2.661606921256393,-0.036548614340795954,-0.013353365015616549,0.009172,0.01,0.0,0.97,100,15,1,16
4,0.9048037249995857,-2.7084680074990755,-0.04762946536702454,-0.017123116763659785,0.008925,0.01,0.0,0.97,100,16,1,17
5,0.9252317681314636,-2.743024147917003,-0.05536008127540303,-0.01990738186496785,0.008692,0.01,0.0,0.97,100,15,1,16
6,0.9264383217485973,-2.775857530676349,-0.06255687276388025,-0.02263478546212574,0.00847,0.01,0.0,0.97,100,15,1,16
7,0.9204969979986658,-2.811365727093994,-0.07062052349054934,-0.02553182653571088,0.00826,0.01,0.0,0.97,100,16,1,17
8,0.9201580893578044,-2.840404533790049,-0.077952098238007,-0.027862419793372707,0.008059,0.01,0.0,0.97,100,16,1,17
9,0.926772301850016,-2.8706257226424694,-0.08456936128263008,-0.03031479030076624,0.007868,0.01,0.0,0.97,100,15,1,16
10,0.9119376406948224,-2.906770556164286,-0.09318784035895832,-0.03335129114489765,0.007686,0.01,0.0,0.97,100,15,1,16
11,0.915047196002221,-2.940700495505884,-0.10086574119995803,-0.036181396279136975,0.007513,0.01,0.0,0.97,100,15,1,16
12,0.9231742283690336,-2.9702119830638685,-0.10770067046879983,-0.038599657593575136,0.007346,0.01,0.0,0.97,100,16,1,17
13,0.928614660390047,-2.9954168473911764,-0.11340817593520042,-0.04070124532452992,0.007188,0.01,0.0,0.97,100,16,1,17
14,0.9255040608375165,-3.022918297913994,-0.11945329275776467,-0.043038433467783396,0.007035,0.01,0.0,0.97,100,15,1,16
15,0.9283699375377795,-3.0485488817437956,-0.12491309064489423,-0.045171586426142496,0.006889,0.01,0.0,0.97,100,15,1,16
16,0.9195730733675098,-3.0755977005397375,-0.13138194306991688,-0.04737466069124729,0.006749,0.01,0.0,0.97,100,16,1,17
17,0.9225986314099857,-3.1022363864779208,-0.13725648632765672,-0.04977124254960176,0.006615,0.01,0.0,0.97,100,15,1,16
18,0.9184377656648497,-3.130623351164795,-0.1438027445978591,-0.05180548881575866,0.006486,0.01,0.0,0.97,100,16,1,17
19,0.9176206814553114,-3.1579856676348506,-0.15008277572125162,-0.05404770619709854,0.006362,0.01,0.0,0.97,100,15,1,16
20,0.9204416382708626,-3.183104361508479,-0.15590513965278704,-0.05620419867634431,0.006242,0.01,0.0,0.97,100,16,1,17
21,0.9195642213511175,-3.2088241963498207,-0.16200886117988003,-0.05811020788430675,0.006127,0.01,0.0,0.97,100,16,1,17
22,0.9237081355705595,-3.232809410322678,-0.16722405288537923,-0.06006349122378793,0.006016,0.01,0.0,0.97,100,15,1,16
23,0.9273649787607039,-3.254851197661584,-0.17207077185273464,-0.06190230723319886,0.005909,0.01,0.0,0.97,100,15,1,16
24,0.92217523061041,-3.2785154824166036,-0.17739233293127082,-0.0637789601586549,0.005806,0.01,0.0,0.97,100,15,1,16
25,0.9241333984934531,-3.300797437985583,-0.18227631361126626,-0.06571889918473224,0.005706,0.01,0.0,0.97,100,15,1,16
26,0.9095425761250336,-3.32748599606248,-0.18841041217211102,-0.06771872062520551,0.00561,0.01,0.0,0.97,100,15,1,16
27,0.9299273962565776,-3.3474348267573637,-0.1928623422445305,-0.06929014607890953,0.005517,0.01,0.0,0.97,100,15,1,16
28,0.9254927041082519,-3.368156248936091,-0.19749022568983826,-0.071035469450508,0.005426,0.01,0.0,0.97,100,15,1,16
29,0.9181880553556786,-3.3908115490048125,-0.20263287021260146,-0.07274493611994738,0.005339,0.01,0.0,0.97,100,16,1,17
30,0.9248458703442654,-3.4097630517476376,-0.2069790301898735,-0.07436452788482667,0.005255,0.01,0.0,0.97,100,16,1,17
31,0.9192045377810791,-3.4313172365872036,-0.21170552705749732,-0.07612630065281054,0.005173,0.01,0.0,0.97,100,15,1,16
