episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon
0,0.9245112631068448,-3.0032120327418874,-1.2962865307026894,-0.5546271328979762,-0.9144404774889365,-0.5220598524827642,0.01,0.01,0.2
1,0.9200013450803686,-5.651350723818198,-2.4838682397426184,-1.030894523584247,-1.7893781868802485,-0.9828437773487849,0.009708,0.01,0.198006
2,0.9140530759951749,-8.021725572977006,-3.5477032060230287,-1.450610615509355,-2.5428591808760377,-1.44694973435094,0.009432,0.01,0.196032
3,0.9195958041256086,-9.915226585670299,-4.3788706797585855,-1.822317140257633,-3.16893927462275,-1.8276368411129689,0.009172,0.01,0.194078
4,0.9161420714333046,-11.600469484348034,-5.151437728498214,-2.1270515125562577,-3.7564710349137806,-2.163831392122157,0.008925,0.01,0.192143
5,0.9184325934853202,-12.94303353095571,-5.752805589773067,-2.3841095394440717,-4.208565476812485,-2.461587627362782,0.008692,0.01,0.190228
6,0.9164208290487349,-14.174433522750252,-6.324380783203963,-2.61635872283577,-4.649675981356357,-2.7475349477341497,0.00847,0.01,0.188331
7,0.9193210920107795,-15.096823712225916,-6.7733475574434525,-2.7770854918785695,-4.998141077137366,-2.967339755071813,0.00826,0.01,0.186454
8,0.9252301588647192,-15.769741855857434,-7.107282566907708,-2.8908980253664285,-5.290878212098655,-3.1407588757849654,0.008059,0.01,0.184595
9,0.9257836096382308,-16.27451238796435,-7.373497549651531,-2.975367781302665,-5.531153691881003,-3.3124200747269357,0.007868,0.01,0.182755
10,0.9122650857363586,-17.152566750830765,-7.809213279110477,-3.114545493522317,-5.920220567994778,-3.5790862474319245,0.007686,0.01,0.180933
11,0.9272816090017856,-17.44397526965272,-7.982312056050547,-3.150665856278336,-6.114791605367883,-3.7146886279234774,0.007513,0.01,0.179129
12,0.9224350112950538,-17.817724249781023,-8.200880835908471,-3.2039394875157394,-6.3116559787632305,-3.8552696694409794,0.007346,0.01,0.177343
13,0.9195199435227674,-18.16983779103012,-8.405527392754264,-3.2473105762834362,-6.502298681616269,-3.958800590631332,0.007188,0.01,0.175575
14,0.9190082367348308,-18.587607931850986,-8.629740044245636,-3.3101044107257254,-6.722631763717364,-4.104556394570484,0.007035,0.01,0.173825
15,0.9226189477921076,-18.858146374443557,-8.803902191596885,-3.332062047910284,-6.8989484977179,-4.218552403652057,0.006889,0.01,0.172092
16,0.9260601788920774,-18.975056084779048,-8.912186422630255,-3.3288132095330902,-7.019510373303863,-4.3023410511671765,0.006749,0.01,0.170376
17,0.9214672949283073,-19.21637502699212,-9.058337734255172,-3.358248583985645,-7.161212600667502,-4.4166029706722805,0.006615,0.01,0.168678
18,0.9244732631017469,-19.33722901696208,-9.180227200837193,-3.3538420434044256,-7.323169669142417,-4.537592533502963,0.006486,0.01,0.166996
19,0.9212884393455977,-19.474534739841513,-9.290506995578516,-3.361669454697186,-7.486393604441857,-4.64457656416945,0.006362,0.01,0.165332
20,0.9211315192368208,-19.634172098458855,-9.425363546169176,-3.36830202598726,-7.630549636532889,-4.744672093858643,0.006242,0.01,0.163683
21,0.9190793602333825,-19.884562880575363,-9.600470964824341,-3.3927649300834632,-7.805370783809872,-4.878714274505066,0.006127,0.01,0.162052
22,0.9275544178420252,-19.96992304840388,-9.68418740076342,-3.3933527576451556,-7.916920803053018,-4.962344359850116,0.006016,0.01,0.160436
23,0.9197882598873867,-20.119944737791556,-9.806142535027593,-3.4031857808912016,-8.028145796792305,-5.052002891892046,0.005909,0.01,0.158837
24,0.9239767054908485,-20.194538343270377,-9.888592968252023,-3.406596237827577,-8.107297509818341,-5.129038429432577,0.005806,0.01,0.157253
25,0.9165150289796469,-20.380599254525222,-10.024162785114909,-3.4230868572442827,-8.265348741522743,-5.251180108120046,0.005706,0.01,0.155686
26,0.926701307408649,-20.322607259872292,-10.04342288093782,-3.3904332898191445,-8.334783639136292,-5.3175205218518915,0.00561,0.01,0.154133
27,0.9236836850163084,-20.29494306704628,-10.09361687048665,-3.364958185963897,-8.413281094871964,-5.388827957732285,0.005517,0.01,0.152597
28,0.9231261041473879,-20.310677687441917,-10.14114076594716,-3.3538020271496283,-8.484787860720013,-5.4541431456198595,0.005426,0.01,0.151076
29,0.9248189775380945,-20.395130643607235,-10.222026483462338,-3.359264172575922,-8.576974124712235,-5.527251017764971,0.005339,0.01,0.14957
