seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
51,6,23,0,0,0,0,0,0,0,0.012,0.016,0,0,0,0,0,0,0,0,0,-14,-18,-24,-28,-12,-20,-13
51,7,0,0,0,0,0,0,0,0,0.012,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,7,1,0,0,0,0,0,0,0,0.012,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,7,2,0,0,0,0,0,0,0,0.012,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,7,3,0,0,0,0,0,0,0,0.012,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,7,4,0,0,0,0,0,0,0,0.012,0.016,0,0,0,0,0,4,34,32,34,0,0,0,0,0,0,0
51,7,5,0,0,0,0,0,1,0,0.0133,0.016,0,0,1,0,7,0,163,136,170,1,0,0,0,0,0,0
51,7,6,19,12,1,0,3,1,0,0.0145,0.0158,0,9,1,9,21,2,169,173,190,1,0,0,0,0,0,0
51,7,7,36,36,0,0,4,1,2,0.0158,0.0184,0,0,3,0,7,7,115,129,122,1,1,0,0,0,1,0
51,7,8,25,43,0,0,5,0,1,0.0158,0.0197,0,0,1,0,4,7,144,136,148,0,1,0,0,0,0,0
51,7,9,25,17,0,0,6,1,0,0.0145,0.0197,2,0,1,2,3,1,147,144,150,0,0,0,0,1,0,0
51,7,10,20,17,0,0,5,1,1,0.0145,0.0197,1,0,2,1,7,1,187,180,194,2,0,0,0,0,0,0
51,7,11,23,22,0,0,5,0,0,0.0132,0.0211,1,0,0,1,1,1,187,178,188,0,0,0,0,0,0,0
