episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,onsite_shortage_pressure,depot_shortage_pressure,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9230396173721089,-2.541494353270611,-0.022222301847919484,-0.009317161398028047,-0.004703062857167308,-0.006628501214636213,-0.0041727170701191425,-0.0032413719214541325,-0.004161084995399473,0.01,0.01,0.0,0.97,100,11,1,12
1,0.9188243997578855,-2.583773436931403,-0.04474166666099129,-0.018942475956235105,-0.009215176177656345,-0.013146030099789189,-0.008167088308458092,-0.006596939693243653,-0.008533380356027123,0.009708,0.01,0.0,0.97,100,10,1,11
2,0.9199001474333199,-2.618935976591067,-0.0637365122059662,-0.02740403243592766,-0.01297317152344311,-0.019020739385400658,-0.012299990797137868,-0.009857750489197422,-0.01225748017823436,0.009432,0.01,0.0,0.97,100,11,1,12
3,0.924447493015241,-2.6556746498308987,-0.08293805577490423,-0.035129028865903404,-0.01714412612212602,-0.024490916884585486,-0.016036553365216758,-0.012994254243293089,-0.015433259342656111,0.009172,0.01,0.0,0.97,100,10,1,11
4,0.9215426413093897,-2.69322136981582,-0.10235098342798578,-0.043404439946670766,-0.02099517259041304,-0.030318559251482028,-0.019576438085703692,-0.015758688485173963,-0.019753521521599725,0.008925,0.01,0.0,0.97,100,11,1,12
5,0.9247430618325466,-2.727876354424898,-0.1204359301682261,-0.050820724490739655,-0.024909824507979916,-0.035454235830296776,-0.023153373172320493,-0.019085013480216233,-0.02246280964868989,0.008692,0.01,0.0,0.97,100,10,1,11
6,0.9261644274371639,-2.7593187533987993,-0.13716986951127852,-0.05775197356871905,-0.028450430496716587,-0.04032270197779328,-0.02633343313432409,-0.02101059778777456,-0.026063601923611873,0.00847,0.01,0.0,0.97,100,11,1,12
7,0.9212962188038766,-2.7938013790958607,-0.15528635195878693,-0.0652761406620864,-0.03223298190114105,-0.04558403311991798,-0.029787485620232604,-0.02360836652368935,-0.029290019098845172,0.00826,0.01,0.0,0.97,100,10,1,11
8,0.9198894559264847,-2.8082274607296704,-0.16407570738972638,-0.07031231339605316,-0.034039524440957925,-0.05041491026196259,-0.033031406175233605,-0.02595447369577364,-0.031249000005163667,0.008059,0.01,0.0,0.97,100,11,1,12
9,0.9240720853748574,-2.839691174948441,-0.18057369450388627,-0.07709243154732263,-0.037619281145100304,-0.055181201196316865,-0.036245118023968854,-0.02818316157944421,-0.0342643335913142,0.007868,0.01,0.0,0.97,100,10,1,11
10,0.9144147926708429,-2.873754179168898,-0.1988042665569691,-0.08493532488793283,-0.04121466304843454,-0.06044141915707428,-0.03997046076172646,-0.030876708841945728,-0.038452638929782096,0.007686,0.01,0.0,0.97,100,11,1,12
11,0.9252434053161742,-2.8998827075633526,-0.21250515413034082,-0.09070920776299073,-0.044034292330837256,-0.06454119802856464,-0.04271209289549423,-0.0328864048160235,-0.04077559834910046,0.007513,0.01,0.0,0.97,100,11,1,12
12,0.9285714285714286,-2.9214322688506518,-0.22386844027612704,-0.09598901076991005,-0.04633461679652746,-0.06857007802467113,-0.04539732460291897,-0.03502798201228783,-0.04299788063496925,0.007346,0.01,0.0,0.97,100,11,1,12
13,0.9230329618610593,-2.9503154761477512,-0.2390328682496231,-0.1022865476264725,-0.04958336637803025,-0.0728650643503872,-0.048459396955231,-0.037680104201979966,-0.045337544651888446,0.007188,0.01,0.0,0.97,100,10,1,11
14,0.9271946452835886,-2.966781880244852,-0.2478836909051463,-0.10658095369716855,-0.051498513632402085,-0.07620689168986332,-0.05108433705267788,-0.03906213883996631,-0.047051014432925836,0.007035,0.01,0.0,0.97,100,11,1,12
15,0.9278347057541046,-2.987215811548481,-0.2586296910839204,-0.11135116880320739,-0.05377172651784075,-0.07982482181149378,-0.053611986550944304,-0.04088294922895776,-0.04903179918022375,0.006889,0.01,0.0,0.97,100,11,1,12
16,0.9270670761382134,-3.0126545951456793,-0.27220447339780707,-0.11715894364598374,-0.05658011458794755,-0.08383735579956726,-0.056351547991088546,-0.04304711543576552,-0.05128863092881172,0.006749,0.01,0.0,0.97,100,10,1,11
17,0.9197784195504214,-3.0401469315664573,-0.28670631512861355,-0.12319411724088417,-0.0595163897473282,-0.08790570920477224,-0.05906013802136348,-0.045238471650435284,-0.05398748380209853,0.006615,0.01,0.0,0.97,100,10,1,11
18,0.9182891052140285,-3.0680753971446877,-0.30129135298464715,-0.12924077964030287,-0.06242425627657627,-0.09209354731613804,-0.06183997170302468,-0.04727254152762686,-0.057378476527591954,0.006486,0.01,0.0,0.97,100,11,1,12
19,0.9238850044124636,-3.09288796270952,-0.31420804343790165,-0.13463689750062854,-0.06510923205727946,-0.09581186972849941,-0.06439750254492575,-0.04950177363226731,-0.05995558290199611,0.006362,0.01,0.0,0.97,100,10,1,11
20,0.9245267394292718,-3.117557012808017,-0.32696185029029784,-0.13983058801807796,-0.06764604864432733,-0.09959486578590232,-0.06683270537953416,-0.05189802698184172,-0.0627766597354464,0.006242,0.01,0.0,0.97,100,10,1,11
21,0.9205040791058193,-3.138469775479537,-0.33780443321412856,-0.14481429338948815,-0.06979390793730807,-0.10326677040293705,-0.06932423656280387,-0.05389727656510166,-0.06469730404145085,0.006127,0.01,0.0,0.97,100,11,1,12
22,0.9300306178788336,-3.1599910432539047,-0.3488655762908449,-0.1492692075117573,-0.07210856315777651,-0.10628157143442168,-0.07154551114427268,-0.05558378170141274,-0.06655197870996037,0.006016,0.01,0.0,0.97,100,10,1,11
