episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,demand_weighted_depot_backlog,demand_weighted_onsite_backlog,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9249460675284713,-2.5402766013506985,-0.020825691330765124,-0.009167767501039653,-0.0037962293615773656,-0.006581378861269125,-0.0035783996106758757,-0.00015094454506803842,-9.011971629722784e-05,0.01,0.01,0.0,0.97,100,11,1,12
1,0.9245409913242316,-2.5790792196086705,-0.04078956056832889,-0.017726087401690627,-0.0076488907442917725,-0.01258358745129841,-0.007214882850086507,-0.0002571819995521895,-0.00018064256875421566,0.009708,0.01,0.0,0.97,100,10,1,11
2,0.9231336281999731,-2.617629362650696,-0.06083600934905494,-0.026336391357790857,-0.011344792793625878,-0.018491687638501737,-0.010820013998698544,-0.00038242294009463483,-0.0002733956910200667,0.009432,0.01,0.0,0.97,100,10,1,11
3,0.9250163117126462,-2.654116878054213,-0.07973193605962212,-0.03429427825481261,-0.015278917781293633,-0.02414883696792425,-0.014353003831619193,-0.0004629402209912085,-0.000361482160028112,0.009172,0.01,0.0,0.97,100,10,1,11
4,0.9266450202107216,-2.6863105365496613,-0.09611920537354274,-0.0416632439210818,-0.018216597601609447,-0.029784776335372763,-0.017451872293582558,-0.0005655428013109467,-0.00043530054747431557,0.008925,0.01,0.0,0.97,100,11,1,12
5,0.924073516119313,-2.7213931416969115,-0.11400508196936046,-0.04939188964600601,-0.021462513238666627,-0.03538562034781804,-0.02075875221873653,-0.0006904275347728668,-0.0005264504563972004,0.008692,0.01,0.0,0.97,100,10,1,11
6,0.9238212437416766,-2.755454471937651,-0.13133754133678938,-0.05682700246598219,-0.024764950073354712,-0.040397556745008965,-0.023855973877828607,-0.0007798504889347392,-0.0005985931904316714,0.00847,0.01,0.0,0.97,100,10,1,11
7,0.9182498368009642,-2.79152852463019,-0.14971740026308802,-0.06496284431744631,-0.027993195670540098,-0.04618015842947017,-0.027086328113595952,-0.000900545394436151,-0.0007079301648557441,0.00826,0.01,0.0,0.97,100,10,1,11
8,0.9256709787897798,-2.8225101582244516,-0.16559519463071212,-0.07197435522161254,-0.03081699920130113,-0.050965199998542654,-0.0297623183694695,-0.000992010804784484,-0.0007905927173552616,0.008059,0.01,0.0,0.97,100,10,1,11
9,0.9255822538425398,-2.853254611277004,-0.181245117810399,-0.07860423632955388,-0.033767882109023206,-0.05563264217384183,-0.032747882136983805,-0.0010766922347994958,-0.0008632784467898554,0.007868,0.01,0.0,0.97,100,10,1,11
