episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon
0,0.9247955583056007,-4.949677891007333,-2.582131651639366,-1.162112682666215,-0.47542583221819384,-0.8541879946254083,-0.4937390397343701,0.01,0.01,0.2
1,0.9229605218911829,-8.099001171607764,-4.2166581980794255,-1.9387823669008786,-0.7764350241478533,-1.4920769084691194,-0.8497187115020953,0.009708,0.01,0.198006
2,0.9163315909395523,-10.395919748301553,-5.442243205725933,-2.550086212192987,-0.9946139647140964,-2.006804033932817,-1.1736440237295538,0.009432,0.01,0.196032
3,0.922289327957439,-11.433408047037947,-6.030251094120623,-2.8942907066755907,-1.0982790604118824,-2.3314228085106175,-1.3962759779218308,0.009172,0.01,0.194078
4,0.917500496984958,-12.511910658331479,-6.616977935515159,-3.2537515234382166,-1.1859531743296654,-2.670287765650853,-1.6173621600876784,0.008925,0.01,0.192143
5,0.9158715811322018,-13.271250475293208,-7.019629903699099,-3.5437551886162537,-1.2370809721600673,-2.9719683012972444,-1.8168530946562464,0.008692,0.01,0.190228
6,0.9183931491377422,-13.610014920982554,-7.224044757460248,-3.7443053262445107,-1.249448358101292,-3.2065769447103687,-1.9665189500245823,0.00847,0.01,0.188331
7,0.9193210920107795,-13.694890629732567,-7.311675003460119,-3.890414613496923,-1.2489619317793952,-3.37609911455891,-2.0884644764380313,0.00826,0.01,0.186454
8,0.9221952832268019,-13.619693569858365,-7.315217374729415,-4.013270731564774,-1.215412699017789,-3.5381818412922033,-2.1767166744468582,0.008059,0.01,0.184595
9,0.9251963219007987,-13.32088638103588,-7.190006173662057,-4.054284035965918,-1.1688707061799348,-3.6301824898540285,-2.2538545497411766,0.007868,0.01,0.182755
10,0.9137933930100935,-13.753083427557835,-7.462151976684912,-4.279976120809359,-1.1961583092862074,-3.8995703975976928,-2.435973584073636,0.007686,0.01,0.180933
11,0.9250075800963514,-13.512707301266412,-7.3569529206754005,-4.333812045123534,-1.1504692747078762,-4.004977553816878,-2.5199876202875133,0.007513,0.01,0.179129
12,0.9234296503590815,-13.347545509083352,-7.295163181236447,-4.420650861601537,-1.110283035014057,-4.148206579736072,-2.639254130216399,0.007346,0.01,0.177343
13,0.9273696065083287,-13.030788836866007,-7.151264217185496,-4.461451126294659,-1.0559720849575267,-4.252657244420443,-2.7113658698656407,0.007188,0.01,0.175575
14,0.9239737632316183,-12.98911874523961,-7.163797890037094,-4.545695979526775,-1.0445343824209938,-4.3744882183049025,-2.8061098667081588,0.007035,0.01,0.173825
15,0.9272812651986516,-12.739330845454106,-7.052750836936111,-4.587315933631444,-0.9940632342082546,-4.469900714985028,-2.8775508667372702,0.006889,0.01,0.172092
16,0.922854889325211,-12.774565178388562,-7.092694104714786,-4.691956388987688,-0.9734231261629047,-4.615627432448358,-2.979026859028846,0.006749,0.01,0.170376
17,0.9201668608873351,-12.857906964582343,-7.157810298008123,-4.805051597164178,-0.9733854534168754,-4.756816276310227,-3.093355417491375,0.006615,0.01,0.168678
18,0.9199893319109215,-12.993419885290491,-7.251751375253881,-4.925149125480615,-0.9755899786335654,-4.910644823798658,-3.209253490501308,0.006486,0.01,0.166996
19,0.9194216278596158,-13.010122805320655,-7.277534995326879,-5.005709911167554,-0.9643903914069294,-5.046042768107135,-3.312693843663792,0.006362,0.01,0.165332
