seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_onsite_shortage_pressure,phi_depot_shortage_pressure,phi_current_station_onsite_shortage_pressure,phi_current_station_depot_shortage_pressure,phi_broken_cargo_distance_pressure,phi_late_broken_cargo_pressure,phi_repaired_idle_away_pressure,phi_depot_pipeline_pressure,phi_depot_queue_pickup_opportunity,phi_degradation_demand_exposure,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
47,7,6,11,D0,True,20,0,20,0,0,0,0,0,0,[],0.0,S51,3.91,20,0,20,0.0,,-1.988708,-6.279397,-8.268105,True,True,5,S51,False,1,0.3766,depot_passthrough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,6,30,S51,False,20,0,20,17,0,0,0,0,0,"['B554', 'B715', 'B631', 'B75', 'B553', 'B350', 'B177', 'B655', 'B253', 'B236', 'B155', 'B584', 'B600', 'B175', 'B628', 'B764', 'B239']",8.5,S39,7.16,3,0,3,0.0,,-1.029081,-6.294775,-7.323856,True,False,30,S22,True,6,1.7441,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,6,46,S39,False,3,0,3,0,17,0,0,0,0,"['B564', 'B671', 'B689', 'B230', 'B395', 'B713', 'B312', 'B509', 'B540', 'B198', 'B614', 'B703', 'B87', 'B5', 'B568', 'B99', 'B522']",8.5,S34,8.13,20,0,20,0.0,,-0.789398,-6.264788,-7.054186,False,False,12,S41,True,10,0.9605,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,7,3,S34,False,20,0,20,15,0,0,0,0,0,"['B743', 'B366', 'B47', 'B564', 'B671', 'B689', 'B230', 'B395', 'B713', 'B312', 'B509', 'B540', 'B198', 'B614', 'B703']",7.5,S22,7.86,5,0,5,0.0,,-0.510262,-6.317457,-6.827719,False,False,18,S26,True,15,1.5279,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,7,18,S22,False,5,0,5,5,0,0,0,0,0,"['B87', 'B5', 'B568', 'B99', 'B522']",2.5,S52,7.49,0,0,0,0.0,,-0.452198,-6.316304,-6.768502,False,False,12,S38,True,7,0.79,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,7,28,S52,False,0,0,0,0,12,0,0,0,0,"['B181', 'B233', 'B208', 'B739', 'B251', 'B86', 'B475', 'B339', 'B483', 'B106', 'B702', 'B565']",6.0,S32,3.72,12,0,12,0.0,,-0.787429,-6.292084,-7.079513,True,False,54,S59,True,37,2.6639,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,7,38,S32,False,12,0,12,12,0,0,0,0,0,"['B181', 'B233', 'B208', 'B739', 'B251', 'B86', 'B475', 'B339', 'B483', 'B106', 'B702', 'B565']",6.0,S54,2.05,0,0,0,0.0,,-0.295499,-6.282857,-6.578357,False,False,12,S54,False,6,0.8986,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,7,46,S54,False,0,0,0,0,0,0,0,0,0,[],0.0,S35,2.91,0,0,0,0.0,,-0.432765,-6.307462,-6.740227,True,False,72,S59,True,1,3.9862,do_nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,7,49,S35,False,0,0,0,0,12,1,0,0,0,"['B597', 'B704', 'B354', 'B202', 'B7', 'B103', 'B633', 'B681', 'B669', 'B238', 'B256', 'B78']",9.0,S54,2.91,12,0,12,0.0,,-0.355028,-6.286702,-6.64173,True,True,36,S38,True,32,2.2256,pickup+onsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,8,1,S54,False,12,0,12,0,8,0,0,0,0,"['B453', 'B299', 'B534', 'B596', 'B757', 'B135', 'B71', 'B765']",4.0,S7,11.95,20,0,20,0.0,,-0.354117,-6.20174,-6.555857,True,False,36,S27,True,27,1.8772,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
