episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,fleet_broken_fraction,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.939747115642608,-2.7321078414000675,-0.120093263698015,-0.04690989979430308,-0.025527280674023437,-0.022723720203855526,-0.007707254583434963,-0.03351645473806937,-0.024691536948525404,-0.06812922392245875,0.1,0.1,0.0,0.97,100,15,1,16
1,0.9397837964277957,-2.960216001546851,-0.2354944816577468,-0.09094319235126305,-0.05146655279185074,-0.04252554109521979,-0.015170760575598661,-0.06354864109567124,-0.04711754366858014,-0.12673527914380833,0.097078,0.1,0.0,0.97,100,14,0,14
2,0.9399353097923545,-3.172386165577018,-0.344155908757249,-0.13259970179742273,-0.07547233896924467,-0.06198360794087787,-0.021971810317924466,-0.09281379259051602,-0.0706316039245773,-0.18220807590224497,0.094322,0.1,0.0,0.97,100,13,1,14
3,0.9420852652193562,-3.366571140605817,-0.44531948008870165,-0.17205762203928507,-0.09782365550723654,-0.08121309549237724,-0.028462682064253064,-0.12134749375306135,-0.09124702175656023,-0.23035746576211288,0.091718,0.1,0.0,0.97,100,13,1,14
4,0.9389219373974713,-3.556487965830578,-0.5426234140481576,-0.21171661518162982,-0.11890182248090835,-0.10107842221454541,-0.03499622351987644,-0.15061517870819857,-0.11140600018274512,-0.2824205181015659,0.089254,0.1,0.0,0.97,100,14,1,15
5,0.9426352956926269,-3.732530207610535,-0.6320943167844757,-0.24641923048937717,-0.13834844670483842,-0.11778126056384036,-0.04057323061807269,-0.17446070714070838,-0.13000241331352938,-0.32696830377194985,0.086919,0.1,0.0,0.97,100,13,1,14
6,0.9415291851603719,-3.8318072636110627,-0.6831733559861805,-0.27416443955551595,-0.1497818692450042,-0.13008807883008078,-0.04635590428231775,-0.19597415605285867,-0.14808060087577313,-0.3507737085455426,0.084703,0.1,0.0,0.97,100,14,1,15
7,0.9381254169446298,-4.007572266139705,-0.7749642420319032,-0.3110979883423828,-0.16999576578743342,-0.14882926518780928,-0.05243144200414471,-0.22345468898852977,-0.16982608743250333,-0.4010157131458875,0.082597,0.1,0.0,0.97,100,13,1,14
8,0.9432608474403772,-4.140796338883241,-0.8446948530766955,-0.34036998031811816,-0.18547388196539794,-0.16309578579140319,-0.05721214584031944,-0.2461920191955768,-0.18722760622862816,-0.4410376040433334,0.080593,0.1,0.0,0.97,100,14,1,15
9,0.9418782450893082,-4.289732885136988,-0.9201228658133116,-0.37041911624377,-0.20208662634995875,-0.17785362835050111,-0.06269255391864295,-0.26897466602627307,-0.20425822571111985,-0.4780920603894295,0.078684,0.1,0.0,0.97,100,13,1,14
10,0.9335248462856567,-4.465798874355187,-1.0132813285880642,-0.4081176114758113,-0.22345872956634374,-0.19593878798604966,-0.06963559237638914,-0.29542823438227284,-0.226235379676359,-0.5276558587095411,0.076864,0.1,0.0,0.97,100,13,1,14
11,0.937930106169973,-4.616275380886718,-1.0911756149105154,-0.43990323906833634,-0.23999477463466792,-0.21181861551851344,-0.0743263850020936,-0.31865720782997836,-0.243452086778466,-0.5686373292303849,0.075126,0.1,0.0,0.97,100,13,1,14
12,0.9441221116545792,-4.679786615547073,-1.1221915334506287,-0.4600681112294705,-0.2462315940621731,-0.2235534839572063,-0.07607256463282425,-0.3371933182396812,-0.2578658848872216,-0.5919466807281106,0.073464,0.1,0.0,0.97,100,14,1,15
13,0.9406186953597848,-4.809138883515567,-1.189450807071171,-0.4874476326260206,-0.2612092730591987,-0.23716839789638744,-0.0809085414185651,-0.3555248353919196,-0.27214546899591263,-0.625317358453829,0.071875,0.1,0.0,0.97,100,13,1,14
